Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2022,63.00,66.60,63.00,65.20,64.322599541380785018,22064492,51984,1419245483.00,5846923,26.50,3.60,2.20
29-November-2022,64.30,64.85,63.00,63.55,63.990440699013934108,2638059,14509,168810558.00,1036791,39.30,1.85,-0.75
28-November-2022,63.55,65.25,63.55,64.40,64.552784991717357906,2811301,9146,181477309.00,1024579,36.44,1.70,0.85
25-November-2022,64.00,64.90,63.00,63.95,63.930286797509298656,2965751,9652,189601312.00,979734,33.03,1.90,-0.05
24-November-2022,62.20,64.10,62.10,63.15,63.166515808938163369,3502196,9462,221221519.00,610932,17.44,2.00,0.95
23-November-2022,63.75,64.30,61.30,61.65,62.404762635021989509,5184063,32016,323510221.00,2139510,41.27,3.00,-2.10
22-November-2022,64.75,64.90,63.35,63.95,64.104688012620498537,3438216,23977,220405764.00,878871,25.56,1.55,-0.80
21-November-2022,66.30,66.35,63.80,64.30,64.741584236850186701,6134916,27183,397184181.00,1753256,28.58,2.55,-2.00
18-November-2022,68.15,69.30,67.00,67.15,68.120366849510872385,4604831,17556,313682777.00,,,2.30,-1.00
17-November-2022,68.30,69.80,67.50,67.75,68.418963478064003653,4099016,19597,280450426.00,944382,23.04,2.30,-0.55
16-November-2022,69.95,70.50,67.70,68.70,68.840037873510897138,4938544,26004,339969556.00,1345143,27.24,2.80,-1.25
15-November-2022,69.10,71.20,69.10,69.95,70.097405567702507814,4807333,17755,336981571.00,1306039,27.17,2.10,0.85
14-November-2022,74.00,75.55,69.15,69.60,71.511323012452152900,11547722,42151,825792878.00,2895820,25.08,6.40,-4.40
11-November-2022,65.60,73.50,65.55,72.80,70.592339161562490178,31976265,85019,2257279344.00,13217524,41.34,7.95,7.20
10-November-2022,65.40,65.95,63.15,63.95,64.251614394332977103,4049816,13193,260207216.00,1208274,29.84,2.80,-1.45
9-November-2022,65.15,67.50,65.00,65.30,66.398503284144285171,9209096,25089,611470191.00,3946634,42.86,2.50,0.15
7-November-2022,63.75,65.40,63.30,65.10,64.361801930538105854,5475261,18445,352397664.00,2972699,54.29,2.10,1.35
4-November-2022,62.45,63.60,62.45,63.00,62.911612909600519071,1214476,6432,76404644.00,333836,27.49,1.15,0.55
3-November-2022,62.70,62.75,62.05,62.20,62.343170411169240339,2183067,10073,136099318.00,764732,35.03,0.70,-0.50
2-November-2022,63.50,64.70,62.65,63.00,63.563657534415128016,3982333,12881,253131651.00,1043234,26.20,2.05,-0.50
1-November-2022,63.30,63.70,62.70,63.55,63.342351832237410982,3619782,15321,229285505.00,1466020,40.50,1.00,0.25
31-October-2022,63.55,63.80,62.10,63.15,62.772836732619777374,1869510,7933,117354446.00,676563,36.19,1.70,-0.40
28-October-2022,65.10,65.70,62.30,62.55,63.272585587026157107,3877340,17349,245329327.00,1311771,33.83,3.40,-2.55
27-October-2022,63.80,65.75,63.50,65.10,65.017484553471490288,4439347,17378,288635175.00,1440877,32.46,2.25,1.30
25-October-2022,62.50,64.85,62.45,64.60,63.459544609590610503,8322661,19081,528152277.00,5565852,66.88,2.40,2.10
24-October-2022,62.95,62.95,62.10,62.35,62.479715983418562375,941776,7108,58841897.00,,,0.85,-0.60
21-October-2022,61.90,63.20,61.35,61.85,62.390298169925929632,4516921,17619,281812048.00,1528625,33.84,1.85,-0.05
20-October-2022,61.70,62.20,60.85,61.30,61.290729447704902544,4053793,21134,248459930.00,1244099,30.69,1.35,-0.40
19-October-2022,63.30,63.60,61.50,62.10,62.275430007672691719,4229285,26461,263380542.00,1232720,29.15,2.10,-1.20
18-October-2022,63.60,64.35,62.75,63.05,63.559188438858520208,3903144,13664,248080665.00,1030624,26.40,1.60,-0.55
17-October-2022,61.80,63.25,61.15,62.65,62.047322882555760562,8125456,14390,504162792.00,4792546,58.98,2.10,0.85
14-October-2022,62.95,64.10,61.60,61.90,62.960841105508553708,6372090,18094,401192146.00,1488972,23.37,2.50,-1.05
13-October-2022,64.40,64.65,61.00,61.30,62.599002551017112650,5418623,21326,339200395.00,1469210,27.11,3.65,-3.10
12-October-2022,65.75,66.45,63.05,63.75,64.513045625719844190,6490988,17648,418753405.00,1493340,23.01,3.40,-2.00
